drug_name,count,generic_name,atc_code,confidence,method
greatcet 325mg,983,paracetamol,N02BE01,high,manual_dict
gumitic,9,,,,
hadubamol,5,,,,
haducarbo,7,acarbose,A10BF01,fuzzy_0.71,fuzzy_match
haduliptin,11,alogliptin,A10BH04,fuzzy_0.70,fuzzy_match
hadusartan hydro,11,,,,
hantacid (220 mg,394,aluminium hydroxide,A02AB01,high,manual_dict
hapacol,2150,paracetamol,N02BE01,high,manual_dict
happyvisc,5,,,,
harnal ocas,293,tamsulosin,G04CA02,high,manual_dict
harotin,267,aprotinin,B02AB01,fuzzy_0.75,fuzzy_match
hebozeta,8,,,,
hemolog,8,esmolol,C07AB09,fuzzy_0.71,fuzzy_match
hepaqueen plus,106,,,,
heradrea,5,,,,
hidrasec,251,,,,
hiruscar post acne gel,20,,,,
hismedan,167,,,,
hoastex,1775,herbal cough preparation,R05X,high,manual_dict
hornol,3,xibornol,J01XX02,fuzzy_0.71,fuzzy_match
hovinlex,30,,,,
hoạt huyết dưỡng não dược sư,118,herbal preparation,V,medium,manual_dict
hoạt huyết dưỡng não đông dược việt,7,herbal preparation,V,medium,manual_dict
htnesoum,13,,,,
humalog mix50 kwikpen+3 pen ndl,21,,,,
huntelaar,1625,losartan,C09CA01,high,manual_dict
hydrocolacyl,236,,,,
iba-mentin,120,gabapentin,N03AX12,fuzzy_0.70,fuzzy_match
ibsaga,7,,,,
ibuhadi 600,11,,,,
ibutop,55,,,,
idatril,954,imidapril,C09AA16,fuzzy_0.75,fuzzy_match
imdur,1,,,,
imdur tab,2,,,,
imedoxim,184,meldonium,C01EB22,fuzzy_0.71,fuzzy_match
imefed,391,cefixime,J01DD08,high,manual_dict
imefed dt,384,cefixime,J01DD08,high,manual_dict
imefed sc,670,cefixime,J01DD08,high,manual_dict
imenir,12,,,,
imerixx,2480,trimebutine,A03AA05,high,manual_dict
imexime,276,mesuximide,N03AD03,fuzzy_0.71,fuzzy_match
imidu,4,,,,
imruvat,169,,,,
insuact,70,insects,V01AA07,fuzzy_0.71,fuzzy_match
irbeplus hct,158,,,,
irbesartan od dwp,8,irbesartan,C09CA04,high,manual_dict
irbevel,2,,,,
isaias,12,,,,
isoday,1189,pantoprazole,A02BC02,high,manual_dict
isosorbid mononitrat dwp,104,isosorbide mononitrate,C01DA14,fuzzy_0.87,fuzzy_match
isotisun,6,biotin,A11HA05,fuzzy_0.71,fuzzy_match
isotretinoin,11,isotretinoin,D10AD04,fuzzy_1.00,fuzzy_match
ivacrig (huyết thanh kháng dại tinh chế),213,,,,
ivagim,187,,,,
ivermectin 3 a.t,262,ivermectin,D11AX22,fuzzy_1.00,fuzzy_match
januvia,1,sitagliptin,A10BH01,high,manual_dict
japiane,293,atropine,A03BA01,fuzzy_0.67,fuzzy_match
jardiance,1529,empagliflozin,A10BK03,high,manual_dict
javelin,2,alverine,A03AX08,fuzzy_0.67,fuzzy_match
jubve,8,,,,
kabzu,1,,,,
kacerin,253,diacerein,M01AX21,fuzzy_0.75,fuzzy_match
kaclocide plus,81,,,,
kafedipin,184,felodipine,C08CA02,fuzzy_0.74,fuzzy_match
kaflovo,665,levofloxacin,J01MA12,high,manual_dict
kapredin,5054,cefuroxime,J01DC02,high,manual_dict
karvidil,254,carvedilol,C07AG02,fuzzy_0.67,fuzzy_match
kary uni,129,,,,
katrypsin fort,85,trypsin,B06AA07,fuzzy_0.88,fuzzy_match
kavasdin,2149,amlodipine,C08CA01,high,manual_dict
kavosnor forte,27,,,,
ketoprofen ec dwp,431,ketoprofen,M01AE03,high,manual_dict
ketoproxin,951,ketoprofen,M01AE03,high,manual_dict
ketotifen helcor,33,ketotifen,R06AX17,fuzzy_1.00,fuzzy_match
ketovital,37,ketoprofen,M01AE03,high,manual_dict
khang minh tỷ viêm nang,2,,,,
kidneycap bát vị - bổ thận dương,1,,,,
kidneycap bát vị bổ thận dương cao đặc,9,,,,
kitno,186,,,,
klacid,752,clarithromycin,J01FA09,high,manual_dict
